"","id","id_seq","transicao","renda_depois","V1023","idade","genero","UF","escolaridade","raça","posicao_familiar","regiao","tempo_desemprego"
"1","130022706_13_11_15_05_2003_Mulher_1310211",650,"Migrou para o setor privado",1650,"Capital",20,"Mulher","Amazonas","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",18
"2","130034554_02_11_26_11_1983_Mulher_1310211",653,"Migrou para o setor privado",1606,"Capital",39,"Mulher","Amazonas","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",24
"3","130035831_04_11_13_05_1996_Mulher_1310212",730,"Migrou para TCP",710,"Capital",27,"Mulher","Amazonas","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Norte",24
"4","130053417_02_11_18_10_2004_Mulher_1351010",893,"Migrou para o setor privado",1006,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Mulher","Amazonas","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",3
"5","150029326_06_11_28_11_1997_Homem_1510011",1322,"Migrou para o setor privado",1366,"Capital",25,"Homem","Pará","Ensino médio completo","Branco","Não responsável pelo domicílio","Norte",8
"6","150023771_11_11_22_05_1983_Homem_1520011",1533,"Migrou para o setor privado",1456,"Resto da RM (Região Metropolitana, excluindo a capital)",40,"Homem","Pará","Ensino médio completo","Não branco","Responsável pelo domicílio","Norte",1
"7","150023771_13_11_10_03_1983_Mulher_1520011",1535,"Migrou para TCP",300,"Resto da RM (Região Metropolitana, excluindo a capital)",40,"Mulher","Pará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",7
"8","150071035_12_11_12_07_1996_Homem_1520011",1575,"Migrou para o setor privado",1000,"Resto da RM (Região Metropolitana, excluindo a capital)",26,"Homem","Pará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",3
"9","150032657_08_11_01_12_2000_Homem_1520012",1618,"Migrou para o setor privado",1366,"Resto da RM (Região Metropolitana, excluindo a capital)",22,"Homem","Pará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",3
"10","150032657_09_11_15_05_1962_Homem_1520012",1621,"Migrou para o setor privado",1900,"Resto da RM (Região Metropolitana, excluindo a capital)",61,"Homem","Pará","Ensino médio completo","Branco","Não responsável pelo domicílio","Norte",3
"11","150051464_02_11_04_12_1991_Homem_1551011",1658,"Migrou para o setor privado",900,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",31,"Homem","Pará","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Norte",4
"12","150124453_13_11_12_03_1978_Mulher_1551011",1735,"Migrou para TCP",290,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",45,"Mulher","Pará","Ensino médio completo","Não branco","Responsável pelo domicílio","Norte",1
"13","150106761_01_11_21_09_2002_Mulher_1552011",1834,"Migrou para o setor privado",1106,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",20,"Mulher","Pará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",3
"14","150107982_13_11_05_09_2001_Homem_1552011",1855,"Migrou para o setor privado",1656,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",22,"Homem","Pará","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Norte",1
