"","id","id_seq","transicao","V1023","idade","genero","VD3004","V2010","V2005","UF","qtd_pessoas","periodo_ajust","ensino_medio","ensino_superior","raça","posicao_familiar","tempo_desemprego","filhos","regiao","renda_domiciliar","renda_depois"
"1","110003808_04_06_19_09_1989_Homem_1110011",5,"Migrou para TCP","Capital",28,"Homem","Superior completo","Parda","Filho(a) somente do responsável","Rondônia",3,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Não responsável pelo domicílio",8,0,"Norte",750,2750
"2","110005539_10_06_06_09_1985_Homem_1110011",28,"Migrou para TCP","Capital",33,"Homem","Médio completo ou equivalente","Parda","Filho(a) do responsável e do cônjuge","Rondônia",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",60,0,"Norte",162.5,700
"3","110001296_10_06_16_04_1994_Mulher_1151011",122,"Migrou para TCP","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",24,"Mulher","Médio incompleto ou equivalente","Parda","Cônjuge ou companheiro(a) de sexo diferente","Rondônia",2,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",48,0,"Norte",488.5,375
"4","110006184_14_06_20_12_1978_Homem_1152011",172,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",39,"Homem","Superior completo","Parda","Pessoa responsável pelo domicílio","Rondônia",4,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Responsável pelo domicílio",3,1,"Norte",378.75,1700
"5","120004277_04_06_19_03_1992_Mulher_1210010",310,"Migrou para o setor privado","Capital",26,"Mulher","Superior completo","Parda","Filho(a) do responsável e do cônjuge","Acre",3,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Não responsável pelo domicílio",4,0,"Norte",418,956
"6","120004307_10_06_12_10_1968_Mulher_1210010",326,"Migrou para o setor privado","Capital",49,"Mulher","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Acre",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",6,0,"Norte",53.3333333333335,955
"7","120006613_09_06_22_05_1984_Homem_1210010",386,"Migrou para o setor privado","Capital",34,"Homem","Fundamental completo ou equivalente","Parda","Pessoa responsável pelo domicílio","Acre",1,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",1,0,"Norte",0,954
"8","120012654_04_06_17_02_1976_Homem_1210010",465,"Migrou para o setor privado","Capital",42,"Homem","Sem instrução e menos de 1 ano de estudo","Branca","Cônjuge ou companheiro(a) de sexo diferente","Acre",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Branco","Não responsável pelo domicílio",15,1,"Norte",318,1077
"9","130016740_03_06_26_09_1995_Homem_1310112",606,"Migrou para o setor privado","Capital",22,"Homem","Médio completo ou equivalente","Parda","Filho(a) do responsável e do cônjuge","Amazonas",6.8,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",13,0,"Norte",25.7142857142857,1400
"10","130042240_09_06_30_05_1970_Homem_1310112",640,"Migrou para o setor privado","Capital",48,"Homem","Médio completo ou equivalente","Parda","Pessoa responsável pelo domicílio","Amazonas",8.8,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Responsável pelo domicílio",6,0,"Norte",408.555555555556,2650
