"","id","Ano","V4012_ajust","ocupacao","cluster","Trimestre","Trimestre_Ano","UF","UPA","Estrato","V1008","V4012","V1014","V1022","V1016","V2007","V2008","V20081","V20082","V2009","VD4001","VD4002","VD3004","V4039","VD4010","V4032","V4019","V2010","V2005","VD4016","V1028","pessoas_domicilio","VD4016_ajust","regiao","Persistente","Precarizado","Transitório","chefe_domicilio","ensino_superior","renda_media"
"1","110000840_04_10_14_05_1967_Homem_1110011",2023,"TCP","TCP","Precarizado",3,"3-2023","Rondônia",110000840,1110011,"04","Conta própria",10,"Urbana",3,"Homem","14","05",1967,56,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental completo ou equivalente",40,"Indústria geral","Não","Não","Parda","Pessoa responsável pelo domicílio",3000,141.36250555,3,3224.60659590767,"Norte",0,1,0,"Responsável pelo domicílio","Sem superior completo",3258.7922407148
"2","110003329_10_10_28_04_1995_Mulher_1110011",2023,"ESPriv","ESPriv","Transitório",3,"3-2023","Rondônia",110003329,1110011,"10","Empregado do setor privado",10,"Urbana",3,"Mulher","28","04",1995,28,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",30,"Outros Serviços",NA,NA,"Branca","Cônjuge ou companheiro(a) de sexo diferente",3000,259.35377612,4,3224.60659590767,"Norte",0,0,1,"Não responsável pelo domicílio","Sem superior completo",3270.81801679767
"3","110007664_12_10_24_11_1964_Mulher_1110011",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110007664,1110011,"12","Conta própria",10,"Urbana",3,"Mulher","24","11",1964,58,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",40,"Construção","Não","Não","Preta","Pessoa responsável pelo domicílio",1500,111.16308997,3,1612.30329795384,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1289.17894514843
"4","110008690_09_10_10_12_1972_Homem_1110011",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110008690,1110011,"09","Conta própria",10,"Urbana",3,"Homem","10","12",1972,50,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",40,"Construção","Não","Não","Parda","Pessoa responsável pelo domicílio",800,340.55464145,3,859.895092242046,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1295.98139707405
"5","110012935_11_10_23_09_1979_Mulher_1110011",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110012935,1110011,"11","Conta própria",10,"Urbana",3,"Mulher","23","09",1979,44,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",40,"Outros Serviços","Não","Não","Branca","Pessoa responsável pelo domicílio",1400,102.3801255,3,1504.81641142358,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1678.01209336078
"6","110016881_09_10_15_08_1993_Homem_1110011",2023,"ESPriv","ESPriv","Transitório",3,"3-2023","Rondônia",110016881,1110011,"09","Empregado do setor privado",10,"Urbana",3,"Homem","15","08",1993,30,"Pessoas na força de trabalho","Pessoas ocupadas","Superior completo",44,"Educação, saúde humana e serviços sociais",NA,NA,"Parda","Cônjuge ou companheiro(a) de sexo diferente",4200,135.84436056,4,4514.44923427074,"Norte",0,0,1,"Não responsável pelo domicílio","Superior completo",5232.17519774856
"7","110001863_07_10_26_06_1980_Homem_1110012",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110001863,1110012,"07","Conta própria",10,"Urbana",3,"Homem","26","06",1980,43,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",40,"Transporte, armazenagem e correio ","Não","Não","Parda","Cônjuge ou companheiro(a) de sexo diferente",2700,164.99471075,3,2902.14593631691,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",2900.17415990709
"8","110010655_02_10_17_09_1981_Homem_1110012",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110010655,1110012,"02","Conta própria",10,"Urbana",3,"Homem","17","09",1981,41,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",35,"Construção","Não","Não","Parda","Pessoa responsável pelo domicílio",1500,229.71194328,1,1612.30329795384,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1567.53665560969
"9","110013992_05_10_02_10_1994_Homem_1110012",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110013992,1110012,"05","Conta própria",10,"Urbana",3,"Homem","02","10",1994,28,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",30,"Comércio, reparação de veículos automotores e motocicletas","Não","Não","Branca","Pessoa responsável pelo domicílio",1600,256.45119613,1,1719.79018448409,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1599.50263550439
"10","110019867_04_10_07_10_1983_Homem_1110012",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110019867,1110012,"04","Conta própria",10,"Urbana",3,"Homem","07","10",1983,39,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",40,"Comércio, reparação de veículos automotores e motocicletas","Não","Não","Parda","Pessoa responsável pelo domicílio",1320,322.56166297,1,1418.82690219938,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1446.11815003021
